,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
233,Jiri Slegr\slegrji01,1993,2006,D,622,56,193,249,32,838,,,,,,,Jihlava,1971-05-30,
234,Richard Smehlik\smehlri01,1993,2003,D,644,49,146,195,62,415,,,,,,,Ostrava,1970-01-23,
235,Ladislav Smid\smidla01,2007,2016,D,583,12,60,72,-68,472,,,,,,,Frydlant,1986-02-01,
236,Radek Smolenak\smolera01,2009,2010,LW,7,0,1,1,1,15,,,,,,,Prague,1986-12-03,
237,Peter Smrek\smrekpe01,2001,2002,D,28,2,4,6,-5,18,,,,,,,Martin,1979-02-16,
238,Vladimir Sobotka\sobotvl01,2008,2020,C,548,53,118,171,-22,362,,,,,,,Trebic,1987-07-02,
239,Radovan Somik\somikra01,2003,2004,RW,113,12,20,32,7,27,,,,,,,Martin,1977-05-05,
240,Jaroslav Spacek\spaceja01,1999,2012,D,880,82,273,355,49,618,,,,,,,Rokycany,1974-02-11,
241,Martin Spanhel\spanhma01,2001,2002,LW,10,2,0,2,-3,4,,,,,,,Gottwaldov/Zlin,1977-07-01,
242,Tomas Srsen\srsento01,1991,1991,RW,2,0,0,0,0,0,,,,,,,Olomouc,1966-08-25,
243,Rastislav Stana\stanara01,2004,2004,G,6,0,0,0,0,0,6,1,2,0,.890,3.12,Kosice,1980-01-10,
244,Anton Stastny\stastan01,1981,1989,LW,650,252,384,636,11,150,,,,,,,Bratislava,1959-08-05,
245,Marian Stastny\stastma01,1982,1986,RW,322,121,173,294,9,110,,,,,,,Bratislava,1953-01-08,
246,Peter Stastny*\stastpe01,1981,1995,C,977,450,789,1239,-15,824,,,,,,,Bratislava,1956-09-18,
247,Patrik Stefan\stefapa01,2000,2007,C,455,64,124,188,-36,158,,,,,,,Pribram,1980-09-16,
248,Martin Straka\strakma01,1993,2008,C,954,257,460,717,67,360,,,,,,,Plzen,1972-09-03,
249,Petr Straka\strakpe01,2015,2015,RW,3,0,2,2,1,0,,,,,,,Pizen,1992-06-15,
250,Martin Strbak\strbama01,2004,2004,D,49,5,11,16,-10,46,,,,,,,Presov,1975-01-15,
251,Jozef Stumpel\stumpjo01,1992,2008,C,957,196,481,677,47,245,,,,,,,Nitra,1972-07-20,
252,Radoslav Suchy\suchyra01,2000,2006,D,451,13,58,71,23,104,,,,,,,Kezmarok,1976-04-07,
253,Tomas Surovy\surovto01,2003,2006,C,126,27,32,59,-21,71,,,,,,,Banska Bystrica,1981-09-24,
254,Andrej Sustr\sustran01,2013,2019,D,323,10,53,63,-3,147,,,,,,,Plzen,1990-11-29,
255,Marek Svatos\svatoma01,2004,2011,RW,344,100,72,172,-4,217,,,,,,,Kosice,1982-06-17,2016-11-05
256,Robert Svehla\svehlro01,1995,2003,D,655,68,267,335,-5,649,,,,,,,Martin,1969-01-02,
257,Jaroslav Svejkovsky\svejkja01,1997,2000,RW,113,23,19,42,-22,56,,,,,,,Plzen,1976-10-01,
258,Jaroslav Svoboda\svoboja01,2002,2006,LW,134,12,17,29,-5,62,,,,,,,Cervenka,1980-06-01,
259,Petr Svoboda\svobope01,1985,2001,D,1028,58,341,399,206,1605,,,,,,,Most,1966-02-14,
260,Petr Svoboda\svobope02,2001,2001,D,18,1,2,3,-5,10,,,,,,,Jihlava,1980-06-20,
261,Michal Sykora\sykormi01,1994,2001,D,267,15,54,69,-16,185,,,,,,,Pardubice,1973-07-05,
262,Petr Sykora\sykorpe01,1996,2012,RW,1017,323,398,721,58,455,,,,,,,Plzen,1976-11-19,
263,Petr Sykora\sykorpe02,1999,2006,C,12,2,2,4,-1,6,,,,,,,Pardubice,1978-12-21,
264,Tomas Tatar\tatarto01,2011,2020,C,554,160,165,325,13,212,,,,,,,Ilava,1990-12-01,
265,Petr Taticek\taticpe01,2006,2006,C,3,0,0,0,0,0,,,,,,,Rakovnik,1983-09-22,
266,Petr Tenkrat\tenkrpe01,2001,2007,RW,177,22,30,52,-37,84,,,,,,,Kladno,1977-05-31,
267,Milan Tichy\tichymi01,1993,1996,D,23,0,5,5,9,40,,,,,,,Plzen,1969-09-22,
268,Jiri Tlusty\tlustji01,2008,2016,C,446,89,88,177,-12,126,,,,,,,Slany,1988-03-16,
269,Pavel Trnka\trnkapa01,1998,2004,D,411,14,63,77,-12,323,,,,,,,Plzen,1976-07-27,
270,Roman Turek\turekro01,1997,2004,G,328,0,12,12,0,30,328,159,115,43,.907,2.31,Strakonice,1970-05-21,
271,Roman Tvrdon\tvrdoro01,2004,2004,C,9,0,1,1,-3,2,,,,,,,Trencin,1981-01-29,
272,Dominik Uher\uherdo01,2015,2015,C,2,0,0,0,-1,0,,,,,,,Ostvava,1992-12-31,
273,Lubomir Vaic\vaiclu01,1998,2000,C,9,1,1,2,-2,2,,,,,,,Spisska Nova Ves,1977-03-06,
274,Boris Valabik\valabbo01,2008,2010,D,80,0,7,7,-14,210,,,,,,,Nitra,1986-02-14,
275,Vaclav Varada\varadva01,1996,2006,RW,493,58,125,183,19,410,,,,,,,Vsetin,1976-04-26,
276,Josef Vasicek\vasicjo01,2001,2008,C,460,77,106,183,-38,311,,,,,,,Havlickuv Brod,1980-09-12,2011-09-07
277,Tomas Vincour\vincoto01,2011,2015,C,95,7,10,17,-9,12,,,,,,,Brno,1990-11-19,
278,Lubomir Visnovsky\visnolu01,2001,2015,D,883,128,367,495,40,373,,,,,,,Topolcany,1976-08-11,
279,Tomas Vlasak\vlasato01,2001,2001,C,10,1,3,4,4,2,,,,,,,Prague,1975-02-01,
280,Tomas Vokoun\vokouto01,1997,2013,G,700,0,23,23,0,125,700,300,288,78,.917,2.56,Karlovy Vary,1976-07-02,
281,David Volek\volekda01,1989,1994,W,396,95,154,249,-24,201,,,,,,,Prague,1966-06-18,
282,Jan Vopat\vopatja01,1996,2000,D,126,11,20,31,15,70,,,,,,,Most,1973-03-22,
283,Roman Vopat\vopatro01,1996,1999,C,133,6,14,20,-29,253,,,,,,,Litvinov,1976-04-21,
284,Jakub Voracek\voracja01,2009,2020,RW,892,203,472,675,-8,453,,,,,,,Kladno,1989-08-15,
285,Petr Vrana\vranape01,2009,2009,C,16,1,0,1,-4,2,,,,,,,Sternberk,1985-03-29,
286,Radim Vrbata\vrbatra01,2002,2018,RW,1057,284,339,623,-19,294,,,,,,,Mlada Boleslav,1981-06-13,
287,Vladimir Vujtek\vujtevl01,1992,2003,LW,110,7,30,37,-15,38,,,,,,,Ostrava,1972-02-17,
288,David Vyborny\vyborda01,2001,2008,RW,543,113,204,317,-48,228,,,,,,,Jihlava,1975-01-22,
289,Roman Will\willro01,2016,2016,G,1,0,0,0,0,0,1,0,0,0,.667,3.25,Plzen,1992-05-22,
290,Libor Zabransky\zabrali01,1997,1998,D,40,1,6,7,-4,50,,,,,,,Brno,1973-11-25,
291,Miroslav Zalesak\zalesmi01,2003,2004,RW,12,1,2,3,-3,0,,,,,,,Skalica,1980-01-02,
292,Richard Zednik\zedniri01,1996,2009,RW,745,200,179,379,-16,563,,,,,,,Banska Bystrica,1976-01-06,
293,Marek Zidlicky\zidlima01,2004,2016,D,836,89,328,417,-64,680,,,,,,,Most,1977-02-03,
294,Tomas Zizka\zizkato01,2003,2004,D,25,2,6,8,-8,16,,,,,,,Sternberk,1979-10-10,
