,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
227,Vitali Yeremeyev\yeremvi01,2001,2001,G,4,0,0,0,0,0,4,0,4,0,.846,4.52,Ust-Kamenogorsk,1975-09-23,
228,Dmitry Yushkevich\yushkdm01,1993,2003,D,786,43,182,225,-21,659,,,,,,,Cherepovets,1971-11-19,
229,Nikita Zaitsev\zaitsni01,2017,2020,D,255,12,59,71,-13,95,,,,,,,Moscow,1991-10-29,
230,Valeri Zelepukin\zelepva01,1992,2001,LW,595,117,177,294,30,527,,,,,,,Voskresensk,1968-09-17,
231,Alex Zhamnov\zhamnal01,1993,2006,C,807,249,470,719,10,668,,,,,,,Moscow,1970-10-01,
232,Vladimir Zharkov\zharkvl01,2010,2012,RW,82,2,12,14,3,10,,,,,,,Elektrostal,1988-01-10,
233,Nikolai Zherdev\zherdni01,2004,2011,W,421,115,146,261,-41,225,,,,,,,Kiev,1984-11-05,
234,Alexei Zhitnik\zhitnal01,1993,2008,D,1085,96,375,471,-53,1268,,,,,,,Kiev,1972-10-10,
235,Sergei Zholtok\zholtse01,1993,2004,C,588,111,147,258,-35,166,,,,,,,Riga,1972-12-02,2004-11-03
236,Sergei Zinovjev\zinovse01,2004,2004,C/LW,10,0,1,1,1,2,,,,,,,Novokuznetsk,1980-03-04,
237,Andrei Zubarev\zubaran01,2011,2011,D,4,0,1,1,-4,4,,,,,,,Ufa,1987-03-03,
238,Ilya Zubov\zubovil01,2008,2009,C,11,0,2,2,-1,0,,,,,,,Chelyabinsk,1987-02-14,
239,Sergei Zubov*\zubovse01,1993,2009,D,1068,152,619,771,148,337,,,,,,,Moscow,1970-07-22,
240,Dainius Zubrus\zubruda01,1997,2016,RW/C,1293,228,363,591,1,791,,,,,,,Elektrenai,1978-06-16,
241,Andrei Zyuzin\zyuzian01,1998,2008,D,496,38,82,120,-40,446,,,,,,,Ufa,1978-01-21,
